,Unnamed: 0,Cities,latitude,longitude,Météo j1,Météo j2,Météo j3,Météo j4,Météo j5,Météo j6,Météo j7,Météo j8,Humidité j1,Humidité j2,Humidité j3,Humidité j4,Humidité j5,Humidité j6,Humidité j7,Humidité j8
0,0,Mont Saint Michel,48.6359541,-1.5114599549595142,6.65,8.15,8.52,8.57,8.47,9.15,9.94,10.05,81.0,97.0,70.0,67.0,73.0,95.0,79.0,77.0
1,1,St Malo,48.649518,-2.0260409,8.35,11.44,9.66,9.22,8.91,11.61,9.49,10.27,74.0,95.0,62.0,62.0,73.0,91.0,82.0,71.0
2,2,Bayeux,49.2764624,-0.7024738,5.65,7.04,7.47,7.74,6.38,6.69,9.74,9.85,74.0,91.0,76.0,66.0,81.0,92.0,74.0,79.0
3,3,Le Havre,49.493897499999996,0.10797319999999999,7.23,6.48,8.12,7.28,5.49,6.77,9.93,8.93,59.0,90.0,75.0,76.0,72.0,90.0,74.0,82.0
4,4,Rouen,49.4404591,1.0939658,5.12,3.52,8.58,5.14,4.59,4.58,9.43,7.55,73.0,93.0,76.0,91.0,68.0,91.0,71.0,84.0
5,5,Paris,48.858889700000006,2.3200410217200766,5.86,4.34,8.82,7.14,4.89,5.04,9.37,6.67,57.0,75.0,82.0,66.0,59.0,67.0,69.0,79.0
6,6,Amiens,49.8941708,2.2956951,4.96,3.41,7.27,5.58,4.67,4.66,8.72,6.98,68.0,93.0,90.0,82.0,67.0,78.0,74.0,80.0
7,7,Lille,50.636565399999995,3.0635282000000004,4.64,4.44,8.43,4.35,5.26,3.98,8.2,7.22,73.0,80.0,78.0,91.0,57.0,77.0,72.0,76.0
8,8,Strasbourg,48.584614,7.750712700000001,5.15,3.37,9.03,4.21,2.56,2.82,5.21,4.19,74.0,66.0,81.0,85.0,96.0,67.0,66.0,74.0
9,9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,0.39,0.86,5.26,1.74,-0.12,-0.28,3.35,2.7,95.0,67.0,88.0,79.0,94.0,73.0,77.0,81.0
10,10,Colmar,48.07775170000001,7.3579641,3.75,3.88,8.66,5.23,3.62,2.66,6.16,5.7,93.0,65.0,87.0,73.0,85.0,71.0,69.0,77.0
11,11,Eguisheim,48.0447968,7.3079618,3.76,4.04,8.63,5.32,3.94,2.66,6.45,5.95,93.0,64.0,87.0,72.0,82.0,72.0,69.0,77.0
12,12,Besancon,47.2380222,6.0243622000000006,2.36,2.27,7.7,2.3,2.4,3.02,4.29,5.16,98.0,82.0,94.0,100.0,97.0,77.0,98.0,90.0
13,13,Dijon,47.321580600000004,5.0414701,3.9,3.6,7.39,2.64,3.93,2.14,5.36,4.4,80.0,70.0,92.0,88.0,78.0,76.0,93.0,95.0
14,14,Annecy,45.8992348,6.1288847,3.48,1.03,4.59,1.98,1.07,2.81,3.47,3.54,99.0,82.0,100.0,99.0,90.0,87.0,99.0,96.0
15,15,Grenoble,45.1875602,5.7357819,4.78,1.74,6.63,3.83,2.58,5.92,6.49,5.29,100.0,87.0,100.0,97.0,94.0,98.0,100.0,100.0
16,16,Lyon,45.75781370000001,4.8320114,5.48,3.65,7.54,3.65,4.43,4.04,6.0,1.96,82.0,66.0,92.0,95.0,76.0,67.0,89.0,100.0
17,17,Gorges du Verdon,43.749656200000004,6.3285616,4.83,6.95,4.18,2.57,4.43,5.22,3.74,5.61,69.0,30.0,97.0,68.0,29.0,49.0,94.0,79.0
18,18,Bormes les Mimosas,43.157217200000005,6.329253867921362,11.19,8.11,12.19,9.38,8.77,9.4,12.11,10.65,56.0,40.0,78.0,58.0,41.0,53.0,87.0,75.0
19,19,Cassis,43.2140359,5.5396317999999996,10.1,7.51,11.12,9.1,8.4,9.31,13.48,10.54,67.0,48.0,85.0,66.0,61.0,51.0,84.0,71.0
20,20,Marseille,43.2961743,5.3699525,9.89,7.0,10.98,9.12,8.29,9.53,13.27,9.9,68.0,55.0,84.0,66.0,63.0,49.0,86.0,74.0
21,21,Aix en Provence,43.5298424,5.4474738,7.58,5.86,7.09,6.64,6.75,7.36,8.91,8.94,73.0,42.0,94.0,66.0,57.0,37.0,95.0,74.0
22,22,Avignon,43.9492493,4.8059012,8.25,5.41,7.22,6.88,6.81,6.73,9.59,6.58,70.0,59.0,83.0,72.0,67.0,41.0,95.0,84.0
23,23,Uzes,44.012127899999996,4.4196718,8.94,6.68,7.13,7.9,8.36,5.45,9.25,5.16,62.0,46.0,80.0,61.0,48.0,53.0,92.0,89.0
24,24,Nimes,43.8374249,4.3600687,9.98,7.62,7.12,8.76,9.3,6.29,10.43,5.93,58.0,43.0,86.0,58.0,43.0,49.0,86.0,86.0
25,25,Aigues Mortes,43.565822499999996,4.1912837,11.05,8.59,11.26,9.55,10.26,7.13,11.02,6.84,59.0,45.0,82.0,59.0,45.0,55.0,80.0,84.0
26,26,Saintes Maries de la mer,43.4522771,4.4287171999999995,10.86,8.42,11.96,9.65,10.03,7.96,11.24,7.6,60.0,49.0,83.0,61.0,47.0,53.0,88.0,80.0
27,27,Collioure,42.52505,3.0831554,10.73,9.23,14.89,8.56,10.13,10.62,11.51,7.97,60.0,54.0,49.0,69.0,51.0,53.0,73.0,84.0
28,28,Carcassonne,43.21303579999999,2.3491068999999998,6.38,5.63,10.11,7.5,7.19,8.01,7.18,5.83,85.0,74.0,94.0,76.0,74.0,78.0,86.0,94.0
29,29,Ariege,42.9455368,1.4065544156065486,-0.37,0.31,4.05,-1.17,-1.29,3.43,0.17,-0.4,92.0,71.0,93.0,94.0,96.0,87.0,93.0,96.0
30,30,Toulouse,43.6044622,1.4442469,7.07,6.61,10.7,8.29,6.69,8.46,9.08,8.01,75.0,62.0,86.0,62.0,73.0,69.0,72.0,79.0
31,31,Montauban,44.0175835,1.3549991000000001,7.59,5.6,10.17,8.6,7.14,7.64,9.74,8.54,76.0,68.0,91.0,62.0,68.0,70.0,68.0,78.0
32,32,Biarritz,43.47114375,-1.5527265906663141,9.99,8.15,12.3,9.56,11.19,12.18,10.52,9.69,76.0,85.0,86.0,76.0,67.0,69.0,58.0,77.0
33,33,Bayonne,43.49333789999999,-1.475099,10.28,8.31,12.46,9.77,11.44,12.96,10.82,10.03,76.0,85.0,87.0,76.0,69.0,68.0,59.0,77.0
34,34,La Rochelle,46.1591126,-1.1520434,7.57,9.78,10.81,9.47,9.67,8.75,11.07,10.78,66.0,88.0,77.0,61.0,66.0,87.0,71.0,70.0
